Patient_ID,GATA2,PGR,SOX17
GSM1402328,0.239,0.183,-4.990513944
GSM1402434,-0.02,2.423,-1.718904834
GSM1402407,0.159,2.27,0.701347492
GSM1402397,0.136,1.479,3.752749502
GSM1402416,-0.006,-0.15,-4.831804945
GSM1402426,0.209,2.326,1.565649066
GSM1402376,-0.128,-0.077,-0.38843354
GSM1402395,-0.222,-0.3,-5.691765723
GSM1402406,-0.176,1.621,0.282992744
GSM1402388,-0.216,-0.234,-9.518126305
GSM1402410,-0.455,-0.375,-1.228222433
GSM1402400,-0.136,-0.349,-0.088731459
GSM1402421,-0.306,0.054,1.605425595
GSM1402413,-0.095,-0.047,-6.703472394
GSM1402338,-0.439,0.598,0.091242316
GSM1402396,-0.449,0.102,2.559168558
GSM1402374,-0.398,0.109,0.677729755
GSM1402341,-0.337,-0.073,-3.738282153
GSM1402357,-0.291,-0.134,-3.839778131
GSM1402353,-0.159,0.047,-3.018832218
GSM1402398,-0.041,-0.089,-2.148272581
GSM1402351,-0.349,-0.109,-1.874463183
GSM1402348,-0.371,0.024,-0.514664331
GSM1402331,-0.079,-0.331,-3.054412346
GSM1402364,-0.233,-0.474,-1.221178355
GSM1402375,-0.226,-0.228,-2.851070783
GSM1402381,-0.479,-0.026,0.174736268
GSM1402358,-0.158,-0.068,-6.413916435
GSM1402352,-0.052,-0.07,-7.121330972
GSM1402321,-0.339,-0.267,2.421648958
GSM1402403,0.16,0.455,-1.653104395
GSM1402383,-0.218,-0.116,-6.165603074
GSM1402354,-0.223,-0.371,-0.230393867
GSM1402329,-0.225,-0.342,-1.496546694
GSM1402430,-0.128,-0.067,-6.512081308
GSM1402419,-0.062,-0.064,2.409915942
GSM1402414,0.771,0.856,3.470439553
GSM1402343,0.266,-0.029,-6.943113811
GSM1402377,0.27,0.24,-1.060055639
GSM1402433,0.108,-0.086,-0.26007729
GSM1402369,0.057,-0.024,-8.426823119
GSM1402431,0.078,-0.336,-5.264127277
GSM1402335,0.382,-0.134,-3.793129992
GSM1402372,-0.306,0.081,2.825134325
GSM1402363,-0.275,-0.53,-0.946343267
GSM1402332,-0.201,-0.246,-0.815317066
GSM1402411,-0.374,-0.619,0.217120425
GSM1402389,0.254,0.087,2.003795564
GSM1402394,-0.429,-0.426,0.488223933
GSM1402350,0.057,-0.362,-1.942657579
GSM1402408,-0.27,-0.413,-1.918821965
GSM1402373,-0.089,0.014,-3.156094105
GSM1402425,-0.275,-0.573,-0.192028694
GSM1402333,-0.189,-0.386,2.994396422
GSM1402370,-0.152,-0.272,0.765628125
GSM1402349,0.155,0.122,-0.784645316
GSM1402399,-0.121,-0.301,-13.10825229
GSM1402418,-0.084,-0.345,-3.87594343
GSM1402330,0.108,0.12,-5.428152982
GSM1402391,-0.178,-0.451,0.840517408
GSM1402360,-0.126,-0.107,-0.051499717
GSM1402402,0.026,-0.296,-2.924419527
GSM1402344,0.17,0,2.975697237
GSM1402365,-0.011,-0.451,-0.087805969
GSM1402428,-0.016,-0.284,-8.987312722
GSM1402339,0.136,0.964,4.886436345
GSM1402347,0.297,0.477,3.951443914
GSM1402424,-0.079,-0.115,-4.605091733
GSM1402435,-0.213,-0.301,-9.840577729
GSM1402429,0.091,0.929,-1.421141485
GSM1402404,-0.203,-0.18,-2.245020928
GSM1402340,0.068,0.122,4.174279036
GSM1402366,-0.032,-0.022,6.455962062
GSM1402378,0.182,0.339,1.195151163
GSM1402385,0.166,0.403,5.98564917
GSM1402346,-0.031,-0.217,-2.018451591
GSM1402380,0.014,0.226,0.794014149
GSM1402362,0.685,0.494,7.771188051
GSM1402415,0.207,0.086,-1.222827963
GSM1402387,0.113,-0.07,-1.497780238
GSM1402356,0.327,0.169,-0.224457123
GSM1402417,0.066,-0.407,-7.931432806
GSM1402326,0.283,0.535,4.55304318
GSM1402322,0.528,0.295,-5.854983561
GSM1402345,0.724,0.453,5.504091157
GSM1402401,0.666,0.748,4.379669929
GSM1402423,0.522,0.378,4.546115459
GSM1402422,0.462,0.284,-0.621044325
GSM1402355,-0.018,0.172,-6.611689874
GSM1402336,0.203,0.486,1.459083513
GSM1402324,0.381,0.641,1.554798085
GSM1402393,-0.195,-0.315,2.796013738
GSM1402368,0.36,0.56,4.982206949
GSM1402386,0.595,0.463,5.356921038
GSM1402361,-0.042,0.571,1.962371804
GSM1402420,0.202,0.769,6.681622664
GSM1402409,-0.038,0.137,-5.918687433
GSM1402371,-0.049,0.093,1.114481104
GSM1402405,0.02,-0.163,-0.959076017
GSM1402384,0.228,0.081,2.720153758
GSM1402390,0.05,0.306,3.43041077
GSM1402427,0.131,-0.249,0.292261481
GSM1402325,0.309,0.046,4.637002853
GSM1402379,0,-0.163,4.142526233
GSM1402367,0.102,0.229,3.948735184
GSM1402327,0.262,-0.028,-4.193040471
GSM1402412,0.371,0.391,3.609605777
GSM1402323,0.285,0.466,4.858932923
GSM1402382,0.429,0.022,1.903458744
GSM1402432,0.175,-0.001,0.434435445
GSM1402337,0.151,0.129,4.670533113
GSM1402392,0.157,0.277,5.413481972
GSM1402342,0.532,0.694,7.312621451
GSM1402334,0.352,0.223,2.100332643
GSM1402359,0.274,0.342,4.592833144
